Id,AB_Thorn,AB_W_Thorn,Nar,Cal,cal_riosu_zr, Na_un_cusal,Na_un_cusba,srtm,slope,intDrain,extDrain,effDepth,trmm_0,trmm_1,trmm_2,trmm_3,tempAvg_0,tempRang_0,PrecAcc_0,tempAvg_1,tempRang_1,PrecAcc_1,tempAvg_2,tempRang_2,PrecAcc_2,tempAvg_3,tempRang_3,PrecAcc_3,Yield
242,1,1,0,0,0,0,1,2326,16,2,3,80,5.2650614,2.840483367,1.2854127,1.617256367,15.3,7.4,338,15.4,8.1,246,157,82,202,158,84,178,0.06322
243,1,1,0,0,0,0,1,2326,16,2,3,80,2.684447167,2.14139663,2.974089567,5.802360733,15.8,8.2,151,15.4,8.1,129,152,77,179,151,75,279,0.06322
244,1,0,0,1,0,0,0,1960,14,3,2,64,2.935277567,2.609473233,3.4390539,4.406,17.6,9.2,202,17.4,9.3,161,172,92,148,171,92,145,0.06349
245,1,1,0,0,0,0,1,2326,16,2,3,80,3.352851,1.760601497,4.2564051,5.2685029,15.4,8.1,129,15.2,7.7,179,151,75,279,153,74,338,0.06379
246,1,1,0,0,0,0,1,2307,36,2,3,70,4.316876867,4.331336997,1.321534233,2.024288333,14.9,7.2,333,14.2,7.5,314,150,79,233,148,81,164,0.06429
247,1,1,0,0,0,0,1,2378,37,2,3,70,1.4504941,1.279280867,3.553902267,3.436973633,14.7,8.1,204,14.9,8.4,197,148,76,224,149,72,333,0.06444
248,1,1,0,0,0,0,1,2326,16,2,3,80,0.505885133,3.044595,1.852282097,3.383248567,15.9,7.9,219,15.8,8.2,151,154,81,129,152,77,179,0.06552
249,1,1,0,0,0,0,1,2378,37,2,3,70,2.7909908,2.080983197,5.3748122,3.8231898,14.5,8,131,14.4,7.6,187,143,74,294,143,73,359,0.06556
250,1,1,0,0,0,0,1,2378,37,2,3,70,1.159302133,2.023279833,2.413778367,2.965743163,15,7.9,233,14.8,8.1,164,145,80,131,144,76,187,0.06667
251,1,0,0,1,0,0,0,2040,8,3,2,63,6.3102833,3.37,10.0386372,7.588656533,17.2,9.2,148,17.1,9.2,145,166,86,211,165,85,296,0.06696
252,1,1,0,0,0,0,1,2326,16,2,3,80,2.915040567,1.2986223,1.268334367,3.456328267,15.4,8.1,246,15.7,8.2,202,158,84,178,157,76,208,0.06782
253,1,1,0,0,0,0,1,2326,16,2,3,80,2.8474857,2.230362067,1.522791967,1.438878,15.3,7.4,338,15.4,8.1,246,157,82,202,158,84,178,0.06954
254,1,1,0,0,0,0,1,2378,37,2,3,70,3.198423433,0.505885133,3.169303,1.818941397,15,7.9,233,14.8,8.1,164,145,80,131,144,76,187,0.07
255,1,1,0,0,0,0,1,2378,37,2,3,70,3.401254767,2.907155333,4.404803667,3.214887937,14.9,8.4,197,14.8,7.6,224,149,72,333,142,75,314,0.07
256,1,1,0,0,0,0,1,1297,12,1,2,75,3.180076967,2.581937767,3.347164,3.124773533,23,11.4,130,22.7,10.3,176,231,96,263,230,103,247,0.07
257,1,1,0,0,0,0,1,2307,36,2,3,70,3.341887267,5.762997433,3.188047567,1.4425326,14.4,7.6,187,14.3,7.4,294,143,73,359,146,80,248,0.07143
258,1,1,0,0,0,0,1,2307,36,2,3,70,3.587651997,4.5636563,0.681857633,2.638219167,14.9,7.2,333,14.2,7.5,314,150,79,233,148,81,164,0.07381
259,1,1,0,0,0,0,1,2326,16,2,3,80,1.159302133,2.023279833,2.413778367,2.965743163,15.9,7.9,219,15.8,8.2,151,154,81,129,152,77,179,0.07586
260,1,0,0,1,0,0,0,2040,8,3,2,63,2.935277567,2.609473233,3.4390539,4.406,17.6,9.2,202,17.4,9.3,161,172,92,148,171,92,145,0.07589
261,1,0,0,1,0,0,0,2051,11,3,2,67,1.4694094,2.858602567,2.564875533,4.8050539,17.2,9.2,159,17.1,9.1,201,170,93,163,167,91,149,0.07738
262,1,1,0,0,0,0,1,2378,37,2,3,70,1.678501397,3.527466167,5.837297633,2.903907367,14.4,7.6,187,14.3,7.4,294,143,73,359,146,80,248,0.07778
263,1,1,0,0,0,0,1,2326,16,2,3,80,1.385043767,0.8442071,3.424325433,1.711834997,15.9,7.9,219,15.8,8.2,151,154,81,129,152,77,179,0.07816
264,1,1,0,0,0,0,1,2307,36,2,3,70,3.050345563,5.6671639,2.930285633,2.361684267,14.4,7.6,187,14.3,7.4,294,143,73,359,146,80,248,0.07857
265,1,0,0,1,0,0,0,1960,14,3,2,64,3.466876267,1.3041268,6.0431731,3.364,17.6,9.2,202,17.4,9.3,161,172,92,148,171,92,145,0.07937
266,1,1,0,0,0,0,1,2326,16,2,3,80,3.198423433,0.505885133,3.169303,1.818941397,15.9,7.9,219,15.8,8.2,151,154,81,129,152,77,179,0.08161
267,1,1,0,0,0,0,1,2378,37,2,3,70,1.125383167,4.006805267,4.5879162,3.550940333,14.9,8.4,197,14.8,7.6,224,149,72,333,142,75,314,0.08556
268,1,1,0,0,0,0,1,1297,12,1,2,75,0.417022,3.323055067,3.771360667,2.2848943,23,11.4,130,22.7,10.3,176,231,96,263,230,103,247,0.08667
269,1,0,0,1,0,0,0,1960,14,3,2,64,6.4232637,3.22,7.1268142,10.59835483,17.2,9.2,148,17.1,9.2,145,166,86,211,165,85,296,0.0873
270,1,1,0,0,0,0,1,2326,16,2,3,80,3.7957019,2.708897967,1.2617441,1.090431367,15.3,7.4,338,15.4,8.1,246,157,82,202,158,84,178,0.08966
271,1,1,0,0,0,0,1,2326,16,2,3,80,3.903979867,2.917317467,1.2237038,1.247233167,15.3,7.4,338,15.4,8.1,246,157,82,202,158,84,178,0.09253
272,1,1,0,0,0,0,1,1297,12,1,2,75,0.3276777,4.088584333,3.712706733,2.875015833,23,11.4,130,22.7,10.3,176,231,96,263,230,103,247,0.09667
